"lat","lon","count","text"
52.1896483697067,-2.66901070123411,1,"Edinburgh"
52.5,-3.5,1,"Camden Town"
47.3333333,13.3333333,1,"Tufnell Park"
50.4786621490095,-3.52936229389451,1,"Edinburgh"
51.508992098999,-0.19137717284998,1,"Leith Walk"
51.4910160452435,-0.192088787858992,1,"Cally"
,,1,"Naw"
51.4676707212152,-2.55431644457478,1,"Thaire"
,,1,"Naw"
51.0818134944621,0.0774980716745225,1,"Cally"
55.886435,-3.198346,1,"Ireland"
,,1,"Leith Walk"
,,1,"Dresden"
51.0530806843491,-0.380441212949217,1,"Chisholm"
52.5654626248031,-1.65326730385113,1,"Naw"
30.05,31.25,1,"Lochend"
52.4119712405767,-2.52196848093541,1,"Bangin"
,,1,"Naw"
57.6842325001168,-5.53148493032404,1,"Cally"
54.98516111663,-4.02402590928349,1,"Haymarket"
-15.4166667,28.2833333,1,"St Andrew's"
,,1,"Naw"
,,1,"Naw"
54.1080295506703,-0.998047251979693,1,"Naw"
,,1,"Cally"
,,1,"Cally"
51.5269680905019,-0.19066481984143,1,"Cockburn
Street"
53.4421585923854,-2.23220526016302,1,"Cockburn Street"
54.8716308856745,-1.45571087711684,1,"Kennedys"
,,1,"Naw"
,,1,"Kennedys"
46,2,1,"Kennedys"
,,1,"Naw"
51.5,10.5,1,"Cafe"
54.3784905665758,-2.90074352828629,1,"Thaire"
52.6355114579894,-1.12946708477953,1,"Naw"
47.0001584,8.0142689,1,"Cally"
,,1,"Niddrie"
50.6230648756224,-3.49162439275436,1,"Naw"
50.6230648756224,-3.49162439275436,1,"Naw"
,,1,"Scotland"
53.0544639183356,-0.112392815173035,1,"Naw"
53.9576467318323,-1.35222582667746,1,"Scotland"
32,-5,1,"Scotland"
,,1,"St Andrew's"
,,1,"Wir"
51.8442232135838,-2.01017827819422,1,"Cally"
,,1,"THE BEST"
,,1,"New Town"
,,1,"Cockburn Street"
48.2084878,16.3720751,1,"Cockburn Street"
,,1,"Princes
Street"
53.7340938018197,-2.37143696131972,1,"Begbie"
54.0885415739534,-1.38133577244095,1,"Market Street"
50.9353251205727,0.370978876549222,1,"Naw"
42.8333333,12.8333333,1,"Temperley"
,,1,"Gav"
50.1166667,8.6833333,1,"Gav"
,,1,"Gav"
,,1,"Gav"
,,1,"Edinburgh"
45.4642694,9.1895056,1,"Naw"
,,1,"Naw"
51.5152441661744,-0.170991895373652,1,"Naw"
55.4121543004779,-3.72981433861057,1,"Leith"
,,1,"Gav"
50.9353251205727,0.370978876549222,1,"Hus"
51.4557209611965,-0.23667058520892,1,"Scotland"
,,1,"Hibernian
urban"
35,99.9999999,1,"Gav"
40,-4,1,"Gav"
51.1647316787758,-1.62303599704863,1,"Gled"
51.3237261369654,-1.43306775104331,1,"Gav"
51.3237261369654,-1.43306775104331,1,"Naw"
,,1,"Ormiston"
51.2141860828089,-2.83764342216462,1,"Ormiston"
51.4815806033575,-0.163654436135841,1,"Ormiston"
,,1,"Ormiston"
,,1,"Ormiston"
,,1,"Ravelston Dykes"
,,1,"Scotland"
,,1,"Edinburgh"
,,1,"Ormiston"
,,1,"Naw"
,,1,"Gav"
51.9352656211164,0.131246629523093,1,"Inverness"
51.526460957786,-0.120293236423564,1,"Naw"
51.526460957786,-0.120293236423564,1,"Gav"
56.045817,-2.782156,1,"Aberdeen"
,,1,"Hanover Street"
56.045817,-2.782156,1,"Biscayne Bay"
41.850033,-87.6500523,1,"Miami"
55.9501,-3.1882,1,"America"
51.5626964313322,-0.174817360631099,1,"Australia"
,,1,"Edinburgh"
51.7092809420824,-0.357108639428022,1,"Merchiston"
,,1,"America"
